================================================================================
NFL TEAM STATISTICAL RANKINGS - SEASONS 1-8
================================================================================

Seasons Analyzed: 1, 2, 3, 4, 5, 6, 7, 8, 8
Total Teams: 32

--------------------------------------------------------------------------------
OVERALL OFFENSIVE RANKINGS (Average PPG)
--------------------------------------------------------------------------------
 1. SAINTS                 32.1 PPG
 2. BEARS                  31.0 PPG
 3. PACKERS                30.9 PPG
 4. COWBOYS                30.8 PPG
 5. STEELERS               30.8 PPG
 6. GIANTS                 29.5 PPG
 7. BUCCANEERS             29.4 PPG
 8. RAVENS                 29.4 PPG
 9. DOLPHINS               29.3 PPG
10. 49ERS                  29.1 PPG
11. VIKINGS                29.1 PPG
12. BILLS                  29.0 PPG
13. PANTHERS               28.9 PPG
14. PATRIOTS               28.9 PPG
15. FALCONS                28.8 PPG
16. BENGALS                28.4 PPG
17. CHIEFS                 28.4 PPG
18. JAGUARS                28.0 PPG
19. CHARGERS               27.5 PPG
20. BROWNS                 27.4 PPG
21. TITANS                 27.3 PPG
22. TEXANS                 27.1 PPG
23. JETS                   26.9 PPG
24. EAGLES                 26.8 PPG
25. BRONCOS                26.6 PPG
26. LIONS                  26.2 PPG
27. SEAHAWKS               26.2 PPG
28. COMMANDERS             25.9 PPG
29. CARDINALS              25.8 PPG
30. RAIDERS                25.8 PPG
31. COLTS                  25.4 PPG
32. RAMS                   24.3 PPG

--------------------------------------------------------------------------------
OVERALL DEFENSIVE RANKINGS (Average Points Allowed)
--------------------------------------------------------------------------------
 1. 49ERS                  393.9 PA/Season
 2. BRONCOS                407.5 PA/Season
 3. CHARGERS               409.2 PA/Season
 4. BILLS                  421.6 PA/Season
 5. DOLPHINS               424.5 PA/Season
 6. CHIEFS                 425.8 PA/Season
 7. JETS                   434.1 PA/Season
 8. CARDINALS              436.6 PA/Season
 9. RAMS                   438.6 PA/Season
10. PATRIOTS               442.9 PA/Season
11. FALCONS                447.5 PA/Season
12. GIANTS                 448.2 PA/Season
13. LIONS                  449.8 PA/Season
14. TITANS                 449.8 PA/Season
15. STEELERS               450.5 PA/Season
16. COWBOYS                452.5 PA/Season
17. BENGALS                454.6 PA/Season
18. SEAHAWKS               454.6 PA/Season
19. RAVENS                 454.9 PA/Season
20. BEARS                  456.2 PA/Season
21. TEXANS                 457.9 PA/Season
22. BROWNS                 461.4 PA/Season
23. PACKERS                461.6 PA/Season
24. EAGLES                 461.9 PA/Season
25. SAINTS                 463.2 PA/Season
26. COLTS                  471.2 PA/Season
27. VIKINGS                477.1 PA/Season
28. BUCCANEERS             480.0 PA/Season
29. PANTHERS               484.6 PA/Season
30. COMMANDERS             485.5 PA/Season
31. JAGUARS                487.5 PA/Season
32. RAIDERS                489.8 PA/Season

--------------------------------------------------------------------------------
OVERALL TURNOVER DIFFERENTIAL RANKINGS
--------------------------------------------------------------------------------
 1. 49ERS                  +12.5 TO Diff/Season
 2. FALCONS                +10.1 TO Diff/Season
 3. DOLPHINS               +8.4 TO Diff/Season
 4. CHIEFS                 +7.9 TO Diff/Season
 5. TITANS                 +6.4 TO Diff/Season
 6. RAVENS                 +5.2 TO Diff/Season
 7. BEARS                  +4.5 TO Diff/Season
 8. BILLS                  +4.4 TO Diff/Season
 9. BRONCOS                +4.1 TO Diff/Season
10. EAGLES                 +3.9 TO Diff/Season
11. VIKINGS                +3.9 TO Diff/Season
12. COWBOYS                +3.1 TO Diff/Season
13. PACKERS                +2.4 TO Diff/Season
14. SAINTS                 +1.4 TO Diff/Season
15. STEELERS               +0.6 TO Diff/Season
16. PANTHERS               +0.0 TO Diff/Season
17. GIANTS                 -0.2 TO Diff/Season
18. CHARGERS               -0.5 TO Diff/Season
19. BUCCANEERS             -1.6 TO Diff/Season
20. BROWNS                 -1.8 TO Diff/Season
21. JETS                   -3.0 TO Diff/Season
22. COMMANDERS             -3.1 TO Diff/Season
23. LIONS                  -3.1 TO Diff/Season
24. BENGALS                -3.8 TO Diff/Season
25. SEAHAWKS               -5.6 TO Diff/Season
26. JAGUARS                -6.0 TO Diff/Season
27. PATRIOTS               -6.0 TO Diff/Season
28. COLTS                  -7.4 TO Diff/Season
29. RAIDERS                -7.6 TO Diff/Season
30. RAMS                   -8.0 TO Diff/Season
